2,2
3,3
4,8
5,7
6,13
7,2
8,6
9,7
10,7
11,10,Hunters Haven
12,12
13,15
14,15
15,8
16,4
17,9
18,2
19,8
20,3
21,9
22,13
23,15
24,16
25,4
26,10
28,7
29,13
30,2
31,7
32,8
34,2
35,9
36,4
37,3
39,6
40,13,CITY OF ASHES
41,12
42,14
43,3
44,9
45,9
46,4
47,3
48,9
49,11
50,5,Blood Rock
51,8
52,6
54,3
55,9
57,5
58,14
59,13
60,14,Glance
62,10
63,3
64,17
65,13
66,7
68,12
69,14
70,12,Lukra
72,4
73,10
76,12
77,14
78,14
79,10
82,5
84,16
85,16
86,15
87,12
88,6
90,5,Eye of the Rock
91,7
92,12
96,10
97,11
98,4
101,6
102,13
103,12
104,5
106,16
107,14
108,6
110,6,Crypts of Yvhal
111,8
113,16
114,14
115,12
116,6
120,17,Lynns Grove
121,13
122,15
123,6
126,4
127,17
128,16
129,15
130,2,Zikura Trading Post
132,14
137,16
141,8
144,11
146,16
149,17
150,9,Pig Ribs
151,18
155,17
156,18
157,19
158,16
160,19,Aurora Township
165,17
166,8
171,8
172,18
174,2
176,5
177,11
180,14,Porthaven
181,18
183,5
186,2
188,11
189,5
190,11,Alzarria
192,18
195,5
196,11
199,19
201,17,
204,11
206,19
207,7
209,10
213,19
215,11
216,2
217,8
218,3
R1,24
R2,25
R3,29
R4,27
R5,22
R6,28
R7,23
R8,28
R9,28
R10,29,Spiderweb
R11,22
R12,23
R13,29
R14,23
R15,24
R16,23
R17,26
R18,29
R19,24
R20,22
R21,24
R22,26
R23,28
R24,26
R25,25
R26,24
R27,27
R28,26
R29,26
R30,24,Zokmere
R31,29
R32,26
R33,27
R34,24
R35,29
R36,24
R37,26
R38,28
R39,26
R40,25,Torzas Apothecary
R50,28,Mulnics Grotto
R54,23
R60,27,Thram's Outpost
R64,23
R66,25
R83,22
R87,25
R93,22
R94,23
R98,28
